Class,Subclass_1,Subclass_2,Subclass_3,Subclass_4,KEGG
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C16527
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C16513
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C06429
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C07338
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C04717
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C04785
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C05356
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C05965
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroperoxy fatty acids,none,C05966
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C05984
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C02774
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C06103
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C06762
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C02774
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C08317
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C13790
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C08285
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C08365
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C08318
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C07355
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C07354
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C07357
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C08314
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C14828
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C14829
Lipids,Fatty acyls,Fatty Acids and Conjugates,Hydroxy fatty acids,none,C03049
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C00109
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C00164
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C06255
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C02233
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C00902
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C02122
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C02129
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C16590
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C16322
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C13945
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C02367
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C00869
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C06761
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C16311
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C16309
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C03508
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C01110
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C03341
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C03656
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C01092
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C05601
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C01180
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17211
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17216
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17220
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17224
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17228
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C17232
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C08319
Lipids,Fatty acyls,Fatty Acids and Conjugates,Oxo fatty acids,none,C12027
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C00909
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C04594
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C04672
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C04834
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C04849
Lipids,Fatty acyls,Fatty Acids and Conjugates,Epoxy fatty acids,none,C08368
Lipids,Fatty acyls,Fatty Acids and Conjugates,Methoxy fatty acids,none,C13792
Lipids,Fatty acyls,Fatty Acids and Conjugates,Methoxy fatty acids,none,C13946
Lipids,Fatty acyls,Fatty Acids and Conjugates,Methoxy fatty acids,none,C13947
Lipids,Fatty acyls,Fatty Acids and Conjugates,Halogenated fatty acids,none,C13793
Lipids,Fatty acyls,Fatty Acids and Conjugates,Halogenated fatty acids,none,C13948
Lipids,Fatty acyls,Fatty Acids and Conjugates,Halogenated fatty acids,none,C13949
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C02261
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C02356
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C00334
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C17234
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C00431
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C01826
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C01933
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C02378
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C17221
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C13795
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C05520
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C05715
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C05717
Lipids,Fatty acyls,Fatty Acids and Conjugates,Amino fatty acids,none,C17962
Lipids,Fatty acyls,Fatty Acids and Conjugates,Cyano fatty acids,none,C05715
Lipids,Fatty acyls,Fatty Acids and Conjugates,Cyano fatty acids,none,C05717
Lipids,Fatty acyls,Fatty Acids and Conjugates,Nitro fatty acids,none,C13800
Lipids,Fatty acyls,Fatty Acids and Conjugates,Nitro fatty acids,none,C13958
Lipids,Fatty acyls,Fatty Acids and Conjugates,Thia fatty acids,none,C16593
Lipids,Fatty acyls,Fatty Acids and Conjugates,Thia fatty acids,none,C16241
Lipids,Fatty acyls,Fatty Acids and Conjugates,Carbocyclic fatty acids,none,C08321
Lipids,Fatty acyls,Fatty Acids and Conjugates,Carbocyclic fatty acids,none,C08366
Lipids,Fatty acyls,Fatty Acids and Conjugates,Carbocyclic fatty acids,none,C13838
Lipids,Fatty acyls,Fatty Acids and Conjugates,Carbocyclic fatty acids,none,C14987
Lipids,Fatty acyls,Fatty Acids and Conjugates,Heterocyclic fatty acids,none,C13798
Lipids,Fatty acyls,Fatty Acids and Conjugates,Mycolic acids,none,C04218
Lipids,Fatty acyls,Fatty Acids and Conjugates,Mycolic acids,none,C04465
Lipids,Fatty acyls,Fatty Acids and Conjugates,Mycolic acids,none,C13842
Lipids,Fatty acyls,Fatty Acids and Conjugates,Mycolic acids,none,C16793
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C00489
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C02656
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C02678
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C03981
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C05601
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C06201
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C08261
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C08277
Lipids,Fatty acyls,Fatty Acids and Conjugates,Dicarboxylic acids,none,C08278
Lipids,Fatty acyls,Octadecanoids,12-oxophytodienoic acid metabolites,none,C01226
Lipids,Fatty acyls,Octadecanoids,12-oxophytodienoic acid metabolites,none,C13816
Lipids,Fatty acyls,Octadecanoids,jasmonic acids,none,C08490
Lipids,Fatty acyls,Octadecanoids,jasmonic acids,none,C08491
Lipids,Fatty acyls,Octadecanoids,jasmonic acids,none,C11512
Lipids,Fatty acyls,Octadecanoids,jasmonic acids,none,C16318
Lipids,Fatty acyls,Octadecanoids,jasmonic acids,none,C16317
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C13791
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14836
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14834
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14825
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14826
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16324
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14832
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14837
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14831
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14827
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16341
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16321
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14762
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14767
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16342
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16326
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16316
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16346
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C15988
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14833
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14835
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14765
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C14766
Lipids,Fatty acyls,Octadecanoids,Other Octadecanoids,none,C16325
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C04685
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05953
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C00959
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05954
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C04686
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05955
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C06438
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C00696
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C13802
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C04741
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05962
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C00584
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C06439
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C06475
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05961
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C14795
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C00639
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05959
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05960
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C14794
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C02314
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C06476
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05956
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C00427
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C01312
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05957
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C05958
Lipids,Fatty acyls,Eicosanoids,Prostaglandins,none,C14717
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C00909
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C02165
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C02166
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C05951
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C05952
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C06462
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C04853
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C05949
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C05950
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C03577
Lipids,Fatty acyls,Eicosanoids,Leukotrienes,none,C11361
Lipids,Fatty acyls,Eicosanoids,Thromboxanes,none,C02198
Lipids,Fatty acyls,Eicosanoids,Thromboxanes,none,C05963
Lipids,Fatty acyls,Eicosanoids,Thromboxanes,none,C05964
Lipids,Fatty acyls,Eicosanoids,Lipoxins,none,C06314
Lipids,Fatty acyls,Eicosanoids,Lipoxins,none,C06315
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14768
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14769
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14770
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14771
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14772
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14773
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14774
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14775
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14782
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14814
